Carrier,R,Lf,Compression_pressure,Tensile_strength,Detachment_stress,Ejection_stress,Elastic_recovery,Net_work_of_compression
Neusilin US2,10,0.7,88.155,2.997243,1.59,8.799,29.27,2.350156762
Neusilin US2,10,0.7,108.7,3.137973,1.6,8.536,32.45,2.401992854
Neusilin US2,10,0.7,128.71,3.736729,1.69,11.111,38.33,2.680834585
Neusilin US2,10,0.7,148.31,3.656153,1.53,10.609,40.26,2.744318293
Neusilin US2,10,0.7,167.27,3.170659,1.69,10.629,41.34,2.792552389
Neusilin US2,10,0.7,186.87,2.487511533,1.55,10.165,46.34,2.813150445
Neusilin US2,10,0.8,90.98,2.921818213,1.14,8.32,30.15892136,2.063936787
Neusilin US2,10,0.8,112.3,2.939090415,1.16,9.15,33.27016905,2.177009092
Neusilin US2,10,0.8,131.72,3.12304829,0.86,8.75,34.82427207,2.237117896
Neusilin US2,10,0.8,151.07,2.993268296,0.828492569,8.94,37.79427245,2.258603188
Neusilin US2,10,0.8,170.67,2.954634464,2.51,8.88,38.06613307,2.333808288
Neusilin US2,10,0.8,189.23,2.908973417,2.14,9,42.19445232,2.395253724
Neusilin US2,10,1,98.05,2.32,1.58,8.07,29.2,1.449985709
Neusilin US2,10,1,118.66,2.06,1.76,7.7,31.21,1.469818564
Neusilin US2,10,1,138.45,2.34,2.08,8.41,32.64,1.475226163
Neusilin US2,10,1,157.82,2.34,1.38,8.58,33.59,1.473947551
Neusilin US2,10,1,175.35,2.16,1.32,7.84,34.35,1.472149212
Neusilin US2,10,1,190.12,1.65,1.16,7.8,36.86,1.50788202
Neusilin US2,20,0.7,90.0517,3.205166605,1.56,9.744,30.83,2.198308406
Neusilin US2,20,0.7,112.4036,2.766030753,1.7,9.932,33.02,2.306760774
Neusilin US2,20,0.7,132.0731,3.093517365,1.57,11.548,35.74,2.369485285
Neusilin US2,20,0.7,151.4779,3.202558597,1.8,10.466,38.98,2.401333073
Neusilin US2,20,0.7,170.8688,3.01485578,1.6,11.14,42.86,2.439872963
Neusilin US2,20,0.7,190.3404,3.832769601,1.58,11.675,45.69,2.46670555
Neusilin US2,20,0.8,93.28,3.385765126,2.17,9.29,28.93873902,1.985429489
Neusilin US2,20,0.8,113.52,3.046512845,2.34,9.56,32.84685548,2.070464612
Neusilin US2,20,0.8,132.85,3.099916683,2.36,9.11,32.77165239,2.098827524
Neusilin US2,20,0.8,152.51,3.09263968,2.51,9.66,36.18002585,2.17520081
Neusilin US2,20,0.8,171.94,3.16888,2.55,9,37.8367081,2.187194817
Neusilin US2,20,0.8,191.03,3.073361118,2.62,9.25,41.50776115,2.228836275
Neusilin US2,20,1,101.6,2.09,1.22,8.46,29.48,1.278729434
Neusilin US2,20,1,121.45,2.08,1.47,8.59,30,1.282041837
Neusilin US2,20,1,139.91,1.75,1.63,7.8,33.09,1.284159146
Neusilin US2,20,1,157.56,2.04,1.38,7.6,33.58,1.314491968
Neusilin US2,20,1,173.12,2,1.43,6.26,35.63,1.357864503
Neusilin US2,20,1,188.22,2,1.6,7.33,35.36,1.411265338
Neusilin US2,30,0.7,90.7711,3.77295,1.53,10.673,28.63,2.207244818
Neusilin US2,30,0.7,112.516,3.87595,1.62,11.295,34.28,2.331805425
Neusilin US2,30,0.7,131.931,4.21564,1.7,12.115,39.18,2.376446976
Neusilin US2,30,0.7,151.49,3.60732,1.84,11.388,38.54,2.451039026
Neusilin US2,30,0.7,171.198,3.673471929,1.86,10.099,40.17,2.452141514
Neusilin US2,30,0.7,190.322,4.33738,1.85,11.251,42.39,2.5064197
Neusilin US2,30,0.8,92.72,3.651875778,2.31,9.16,29.59413523,2.022226575
Neusilin US2,30,0.8,113.4,3.274493768,2.1,10.19,30.71407719,2.085366377
Neusilin US2,30,0.8,132.88,2.973774397,2.13,9.85,36.01962219,2.136819543
Neusilin US2,30,0.8,152.21,2.845567028,2.17,9.61,35.7363917,2.18623973
Neusilin US2,30,0.8,171.92,3.249267178,2.13,9.47,40.35775384,2.221980893
Neusilin US2,30,0.8,191.3,2.832072349,2.47,8.83,42.73086223,2.254808211
Neusilin US2,30,1,99.88,2.39,0.97,5.58,33.82,1.253855237
Neusilin US2,30,1,119.54,2.48,1.69,7.72,35.42,1.377565396
Neusilin US2,30,1,139.54,2.31,1.77,8.35,38.63,1.385895555
Neusilin US2,30,1,158.11,2.47,1.53,8.38,38.89,1.410274083
Neusilin US2,30,1,175.42,2.38,1.89,8.95,41.94,1.434362239
Neusilin US2,30,1,192.54,2.22,2.33,8.41,43.76,1.449503163
Syloid 3150,10,0.6,87.43952229,,3.534978769,2.724308054,36.9120804,1.060754283
Syloid 3150,10,0.6,105.012301,0.586634571,3.693503185,3.147024665,39.28981794,1.183386734
Syloid 3150,10,0.6,122.5790048,0.621915649,4.22375,3.701051054,38.78879602,1.327771502
Syloid 3150,10,0.6,140.2371783,0.84535345,4.47455414,4.13420028,42.7451302,1.426113401
Syloid 3150,10,0.6,157.7873355,1.086058217,4.711762208,4.82837435,41.07087351,1.557240204
Syloid 3150,10,0.6,175.7156369,1.089835176,4.750525478,5.065272762,43.74767346,1.559186971
Syloid 3150,10,0.7,87.79533439,,3.765533439,3.102505688,31.6552926,0.952642717
Syloid 3150,10,0.7,105.5425478,0.460812527,3.821942675,3.587843803,33.0048666,1.060388735
Syloid 3150,10,0.7,123.4989092,0.541592049,3.937653928,3.954368505,34.62212209,1.115840535
Syloid 3150,10,0.7,141.4561385,0.683918986,3.944596603,4.4180003,32.80301622,1.185932929
Syloid 3150,10,0.7,159.4402707,0.918467259,4.625557325,4.914969311,34.37570935,1.262341413
Syloid 3150,10,0.7,177.9199363,1.146627908,4.667213376,5.282910259,36.38992687,1.266457712
Syloid 3150,20,0.6,87.51936306,,4.038901274,3.989197848,39.34708363,1.038998417
Syloid 3150,20,0.6,105.1040021,,4.328757962,4.632855893,39.48906441,1.172133755
Syloid 3150,20,0.6,122.8344374,0.455593446,4.982526539,5.206664259,38.06492464,1.284995864
Syloid 3150,20,0.6,140.5041242,0.581494272,5.56455414,5.750187559,39.2645887,1.396674699
Syloid 3150,20,0.6,158.4318471,0.656579692,5.645552017,6.43983067,40.69886956,1.44262015
Syloid 3150,20,0.6,176.1703822,0.867635721,6.490244161,6.892356903,39.63018153,1.512438188
Syloid 3150,20,0.7,87.83178344,,3.565063694,3.467752695,32.56628314,0.957299928
Syloid 3150,20,0.7,105.5043631,,3.632176221,3.790188615,34.61486905,1.066263501
Syloid 3150,20,0.7,123.5981316,0.452257147,3.71433121,4.271676414,32.87055816,1.106827756
Syloid 3150,20,0.7,141.628259,0.590484671,3.964267516,4.729921984,33.95840868,1.178735878
Syloid 3150,20,0.7,159.7726513,0.76596175,4.00852707,5.079221262,34.28315923,1.212037232
Syloid 3150,20,0.7,178.1290844,0.920715944,4.53183121,5.59531236,36.15164999,1.241087321
Syloid 3150,30,0.6,87.50200637,,2.85343949,2.570193318,39.57845433,1.046479219
Syloid 3150,30,0.6,105.1346656,0.35282036,3.053041401,2.973951549,40.63435719,1.157294348
Syloid 3150,30,0.6,122.7985669,0.544689554,3.320334395,3.556376091,39.40466371,1.246522588
Syloid 3150,30,0.6,140.1864968,0.804669727,3.863598726,4.112093801,39.66793807,1.410894605
Syloid 3150,30,0.6,158.2270382,0.886168784,3.957324841,4.452646625,40.9034397,1.434505239
Syloid 3150,30,0.6,176.5071019,0.993502158,4.064936306,4.735574058,42.37780217,1.452558967
Syloid 3150,30,0.7,88.00187898,,2.715453822,2.671202488,41.77185402,0.895725779
Syloid 3150,30,0.7,105.7569029,0.539334314,2.854307325,2.986083437,44.25011043,0.991823415
Syloid 3150,30,0.7,123.7679379,0.637396622,2.933280255,3.357583806,45.1875634,1.056813022
Syloid 3150,30,0.7,141.8214968,0.774097608,3.086886943,3.689580517,45.54481835,1.117391245
Syloid 3150,30,0.7,159.9548965,0.994447166,2.916791401,4.015675965,46.04014537,1.161820206
Syloid 3150,30,0.7,178.2609952,1.007945497,3.118996815,4.292588761,49.39195727,1.154527343
Syloid 3050,10,0.6,87.71115446,0.586809917,3.007046178,2.685485238,35.89317267,0.964842582
Syloid 3050,10,0.6,105.1546258,0.885492338,3.383686306,3.255182113,36.74498006,1.112793151
Syloid 3050,10,0.6,122.6712845,1.106357246,3.641433121,3.703350896,36.58749875,1.232104516
Syloid 3050,10,0.6,140.4312261,1.264497827,3.818471338,4.290521503,37.867566,1.319527281
Syloid 3050,10,0.6,158.1064092,1.359516162,4.217675159,4.697837903,38.98640947,1.435892859
Syloid 3050,10,0.6,176.0705812,1.916679577,4.484968153,5.200204103,41.38250781,1.476796457
Syloid 3050,10,0.7,87.88038217,0.66279739,2.737496815,2.703459816,28.21967664,0.866936651
Syloid 3050,10,0.7,105.5474076,0.876418954,2.735414013,3.156512633,27.67071929,0.974872545
Syloid 3050,10,0.7,123.1413615,1.248140302,3.017460191,3.625094388,27.03533879,1.071967968
Syloid 3050,10,0.7,141.327699,1.431873426,2.843893312,4.035669311,28.65029598,1.125381721
Syloid 3050,10,0.7,159.8662038,1.527146476,2.949248408,4.360755484,28.9551731,1.158767619
Syloid 3050,10,0.7,178.1809809,1.848670375,3.079076433,4.681935565,30.4281677,1.200925095
Syloid 3050,10,0.8,88.3455414,0.569610304,1.808566879,2.003170541,42.31815738,0.813574036
Syloid 3050,10,0.8,106.2663217,0.738548657,2.440350318,2.94238834,42.78655701,0.903790079
Syloid 3050,10,0.8,124.5880414,0.971756387,2.65383758,3.240304156,45.39816431,0.956598984
Syloid 3050,10,0.8,143.1076274,1.135437751,2.673797771,3.513950474,46.3400096,0.985917782
Syloid 3050,10,0.8,162.0203424,1.192331885,2.645159236,3.557671516,51.63499765,0.937402467
Syloid 3050,10,0.8,181.2932086,1.424766332,2.643423567,3.712558279,53.33607874,0.926834446
Syloid 3050,20,0.6,87.89947452,0.515247924,3.532953822,3.278716192,38.57215008,0.976232815
Syloid 3050,20,0.6,105.5382086,0.621432143,3.677882166,3.690578476,39.84858506,1.077493869
Syloid 3050,20,0.6,123.1569825,1.085578203,3.755987261,4.287977173,39.08271054,1.182702056
Syloid 3050,20,0.6,140.8391083,1.264301786,3.833224522,4.439872602,42.31264589,1.268834219
Syloid 3050,20,0.6,158.5932643,1.332976766,4.255859873,4.775694687,46.83281493,1.34063243
Syloid 3050,20,0.6,176.6398806,1.972647542,4.453726115,5.177737972,50.30220236,1.407753215
Syloid 3050,20,0.7,87.97966242,0.575552548,3.228343949,3.281403597,24.00150779,0.885505542
Syloid 3050,20,0.7,105.7570764,0.9419358,3.481057325,3.681251687,21.64747589,0.974455593
Syloid 3050,20,0.7,123.4838089,1.054289093,3.998286624,4.470995555,27.60469142,1.081329187
Syloid 3050,20,0.7,141.7190924,1.140941561,4.314872611,5.187279975,28.8941806,1.134761629
Syloid 3050,20,0.7,160.0651115,1.506647927,4.525756369,5.60519332,31.8356096,1.178930432
Syloid 3050,20,0.7,178.9431131,1.75643519,4.665477707,6.17214973,31.15156382,1.186684542
Syloid 3050,20,0.8,88.41062898,0.644449729,2.216449045,2.429385569,39.78330367,0.808192487
Syloid 3050,20,0.8,106.951043,0.819348724,2.292818471,2.670485347,44.0701658,0.865736579
Syloid 3050,20,0.8,125.7066799,1.046197924,2.313646497,2.924927216,44.73303282,0.885348046
Syloid 3050,20,0.8,144.9014411,1.249976308,2.341417197,3.224359074,47.16561399,0.88128864
Syloid 3050,20,0.8,163.9616879,1.328668053,2.337078025,3.289285626,50.51260253,0.857351189
Syloid 3050,20,0.8,183.3690685,1.417044205,2.383073248,3.337818847,51.51457246,0.79712735
Syloid 3050,20,0.9,89.38086783,0.622323624,1.813773885,2.415366557,21.84266745,0.704913728
Syloid 3050,20,0.9,109.1900557,0.739901143,1.707898089,2.621985278,21.82915623,0.690805987
Syloid 3050,20,0.9,129.5520541,0.716180384,1.597683121,2.736924001,23.66739208,0.661470566
Syloid 3050,20,0.9,150.1952309,0.869474221,1.618511146,2.777027685,24.22262091,0.580127645
Syloid 3050,20,0.9,170.2994825,0.94947755,1.42758758,2.843673081,25.15695337,0.469881326
Syloid 3050,20,0.9,189.9489889,0.977753338,1.508296178,2.832276466,27.14985318,0.371924374
Syloid 3050,30,0.6,87.64693471,0.543727789,2.833479299,2.707162244,37.39225487,0.958310984
Syloid 3050,30,0.6,105.2821975,0.752902148,3.142428344,3.169290749,37.67608999,1.133171415
Syloid 3050,30,0.6,122.7065764,1.019114905,3.558988854,3.670710531,39.17995318,1.21507459
Syloid 3050,30,0.6,140.482949,1.236741373,3.839299363,4.257052512,39.65798978,1.305556953
Syloid 3050,30,0.6,158.4052335,1.382512966,4.137834395,4.639312995,41.14221584,1.37202575
Syloid 3050,30,0.6,176.1553397,1.853988327,4.251231423,5.129985112,41.321656,1.459669691
Syloid 3050,30,0.7,87.94199841,0.647550049,2.214713376,2.654806961,32.61043084,0.866251114
Syloid 3050,30,0.7,105.6501592,0.965524792,2.483742038,3.120401267,29.89565695,0.964787748
Syloid 3050,30,0.7,123.5865605,1.341048835,2.583542994,3.389585079,29.7993793,1.036414625
Syloid 3050,30,0.7,141.9499363,1.431075542,2.718751592,3.767529315,30.66311031,1.078723568
Syloid 3050,30,0.7,161.2186369,1.527144809,2.715280255,4.006858638,30.80827402,1.075399611
Syloid 3050,30,0.7,179.9596943,1.834801636,2.830875796,4.3061143,31.68185826,1.080800657
Syloid 3050,30,0.8,88.60415605,0.605304336,2.055031847,2.470985649,39.30652037,0.790228646
Syloid 3050,30,0.8,107.1428344,0.777115444,2.331871019,2.74643101,41.7580026,0.835742399
Syloid 3050,30,0.8,126.0243073,0.923013971,2.386544586,3.081905864,44.76281692,0.850663071
Syloid 3050,30,0.8,145.2364252,1.173285534,2.342285032,3.196721665,47.06421061,0.83231215
Syloid 3050,30,0.8,164.8052229,1.105152488,2.286743631,3.092247726,49.90382125,0.779947564
Syloid 3050,30,0.8,184.2351672,1.334968618,2.40910828,3.1665477,53.39654889,0.712866068
